Primary ID,Address,Common Nam,Latin Name,DBH,Longitude,Latitude
"196470",6603 Northridge Village Drive,Callery pear,Pyrus calleryana,"13",-80.768219972959002,35.279487223853998
"196460",223 Graham Meadow Drive,Callery pear,Pyrus calleryana,"15",-80.768093480643003,35.280107504844999
"196456",209 Graham Meadow Drive,Callery pear,Pyrus calleryana,"18",-80.767765059096007,35.280149532751999
"196452",220 Graham Meadow Drive,Callery pear,Pyrus calleryana,"16",-80.768024339315005,35.280413925159998
"196447",226 Graham Meadow Drive,Callery pear,Pyrus calleryana,"15",-80.768145932775994,35.280460332136002
"196443",227 Graham Meadow Drive,Callery pear,Pyrus calleryana,"19",-80.768295540457004,35.280386555423000
"196440",231 Graham Meadow Drive,Callery pear,Pyrus calleryana,"14",-80.768396868376001,35.280431989237002
"196438",234 Graham Meadow Drive,Callery pear,Pyrus calleryana,"13",-80.768274082825997,35.280527053459998
"196436",426 Graham Meadow Drive,Callery pear,Pyrus calleryana,"18",-80.770088806743843,35.282043391087903
"196435",414 Graham Meadow Drive,Callery pear,Pyrus calleryana,"19",-80.769974812860724,35.281910956496390
"196434",408 Graham Meadow Drive,Callery pear,Pyrus calleryana,"16",-80.769853442902800,35.281769298395332
"196433",2317 Jordi Way,Callery pear,Pyrus calleryana,"16",-80.769909247756019,35.281599263459036
"196432",238 Graham Meadow Drive,Callery pear,Pyrus calleryana,"17",-80.768422498378001,35.280606060724999
"196425",302 Graham Meadow Drive,Callery pear,Pyrus calleryana,"18",-80.768604442555002,35.280683468523002
"196423",308 Graham Meadow Drive,Callery pear,Pyrus calleryana,"16",-80.768767163248995,35.280765577506997
"196422",317 Graham Meadow Drive,Callery pear,Pyrus calleryana,"20",-80.769038715559006,35.280741904075001
"196416",322 Graham Meadow Drive,Callery pear,Pyrus calleryana,"13",-80.769066133714006,35.280908007310003
"196414",342 Graham Meadow Drive,Callery pear,Pyrus calleryana,"13",-80.769521743081910,35.281405052802683
"196413",340 Graham Meadow Drive,Callery pear,Pyrus calleryana,"18",-80.769425481548751,35.281297384874783
"196412",336 Graham Meadow Drive,Callery pear,Pyrus calleryana,"10",-80.769314169874633,35.281164949063182
"196411",317 Graham Meadow Drive,Callery pear,Pyrus calleryana,"18",-80.769210376977014,35.280809902439003
"196407",317 Graham Meadow Drive,Callery pear,Pyrus calleryana,"18",-80.769311704895003,35.280749750064999
"196405",6622 Love Ridge Lane,Callery pear,Pyrus calleryana,"19",-80.769446411410996,35.280541193041998
"196401",310 Cupped Oak Court,Callery pear,Pyrus calleryana,"17",-80.769684829981003,35.280624579445004
"196397",318 Cupped Oak Court,Callery pear,Pyrus calleryana,"18",-80.769793310430003,35.280832041468003
"196393",328 Graham Meadow Drive,Callery pear,Pyrus calleryana,"3",-80.769252681175004,35.281059872020997
"196388",6312 Elgywood Lane,Callery pear,Pyrus calleryana,"20",-80.771999172860674,35.271650164961741
"196387",6312 Elgywood Lane,Callery pear,Pyrus calleryana,"19",-80.771990455681362,35.271713380415690
"196386",6336 Elgywood Lane,Callery pear,Pyrus calleryana,"18",-80.771950706838439,35.272281573848197
"196385",6336 Elgywood Lane,Callery pear,Pyrus calleryana,"17",-80.771948248143417,35.272342317513676
"196384",6200 Countryside Drive,Callery pear,Pyrus calleryana,"25",-80.769952051348369,35.271512120114174
"196383",6200 Countryside Drive,Callery pear,Pyrus calleryana,"14",-80.769927538947300,35.271633503953076
"196382",6200 Countryside Drive,Callery pear,Pyrus calleryana,"19",-80.769886858763584,35.271782442918386
"196376",200 East Arrowhead Road,Callery pear,Pyrus calleryana,"17",-80.769588351279253,35.274020355572389
"196373",305 Blackhawk Road,Callery pear,Pyrus calleryana,"22",-80.771026760166947,35.273146384318551
"196371",301 Blackhawk Road,Callery pear,Pyrus calleryana,"23",-80.770396739162607,35.273299854539232
"196370",301 Blackhawk Road,Callery pear,Pyrus calleryana,"27",-80.770306214608368,35.273323936132307
"196368",301 Blackhawk Road,Callery pear,Pyrus calleryana,"26",-80.770200937945461,35.273340112114141
"196366",6301 Countryside Drive,Callery pear,Pyrus calleryana,"29",-80.769884362773610,35.273310018105732
"196365",301 Blackhawk Road,Callery pear,Pyrus calleryana,"23",-80.769762024251591,35.273188441294359
"196364",6217 Countryside Drive,Callery pear,Pyrus calleryana,"25",-80.769787356241537,35.273018087572879
"196363",6215 Countryside Drive,Callery pear,Pyrus calleryana,"13",-80.769909620235012,35.272460033128631
"196362",6213 Countryside Drive,Callery pear,Pyrus calleryana,"28",-80.769971311042355,35.272137116818286
"196173",4915 Hillsboro Avenue,Callery pear,Pyrus calleryana,"5",-80.783232531224996,35.260447786812001
"195863",515 Austin Drive,Callery pear,Pyrus calleryana,"21",-80.775965697608996,35.267099674179001
"195525",642 Kentbrook Drive,Callery pear,Pyrus calleryana,"17",-80.785385430660995,35.265781235081000
"195524",516 West Sugar Creek Road,Callery pear,Pyrus calleryana,"19",-80.794580504291957,35.265640830209712
"195500",1826 Orr Industrial Court,Callery pear,Pyrus calleryana,"11",-80.760036356425005,35.261212293759002
"195499",1826 Orr Industrial Court,Callery pear,Pyrus calleryana,"16",-80.759968407143006,35.261134119310000
"195498",1810 Orr Industrial Court,Callery pear,Pyrus calleryana,"14",-80.759912378785998,35.261068112034998
"195497",1810 Orr Industrial Court,Callery pear,Pyrus calleryana,"10",-80.759864099024000,35.261010865129997
"195496",1810 Orr Industrial Court,Callery pear,Pyrus calleryana,"12",-80.759814031109002,35.260941937623002
"195476",6401-B Orr Road,Callery pear,Pyrus calleryana,"4",-80.757499835538994,35.262811345989000
"195475",6401-B Orr Road,Callery pear,Pyrus calleryana,"16",-80.757360956713995,35.262859709758999
"195473",6333 State Road 2848,Callery pear,Pyrus calleryana,"16",-80.757167837664994,35.262918780424997
"195357",7027 State Road 2848,Callery pear,Pyrus calleryana,"19",-80.745724811564997,35.266519018621999
"195355",7121 State Road 2848,Callery pear,Pyrus calleryana,"17",-80.745500498362006,35.266592310173998
"195352",7121 State Road 2848,Callery pear,Pyrus calleryana,"15",-80.745427780686001,35.266618772148000
"195349",7121 State Road 2848,Callery pear,Pyrus calleryana,"19",-80.745334201402997,35.266653993927001
"195263",7541 State Road 2848,Callery pear,Pyrus calleryana,"18",-80.740494721602005,35.270915381431003
"195261",7541 State Road 2848,Callery pear,Pyrus calleryana,"21",-80.740432136739003,35.270993424783001
"195168",4116 North Tryon Street,Callery pear,Pyrus calleryana,"19",-80.796381209936001,35.257414149333997
"195064",4237 Raleigh Street,Callery pear,Pyrus calleryana,"18",-80.789922675498005,35.253344046203999
"195062",4237 Raleigh Street,Callery pear,Pyrus calleryana,"17",-80.790027744891006,35.253323914725001
"195044",3900 Greensboro Street,Callery pear,Pyrus calleryana,"10",-80.796651480950999,35.253035266205003
"194982",2936 Milton Road,Callery pear,Pyrus calleryana,"2",-80.739706406647997,35.236959167479000
"194671",712 East 37th Street,Callery pear,Pyrus calleryana,"5",-80.801582802073995,35.246834705750999
"194647",611 East 37th Street,Callery pear,Pyrus calleryana,"20",-80.801843401122994,35.247601868186997
"194512",3412 Oakwood Avenue,Callery pear,Pyrus calleryana,"11",-80.797092415731015,35.244491828830000
"194313",116 Dorton Street,Callery pear,Pyrus calleryana,"23",-80.788917801026003,35.257369474508998
